,기입날짜,별점,옵션,후기,sentiment
22,23.04.03.,5,모델: 1.NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,귀엽고 배송빨라요 ㅎㅎ,1
23,23.04.03.,5,모델: 1.NEW 에어팟3세대 / 옵션: 44-딸기라떼,😀😀😀😀😀😀,1
24,23.04.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,싸고 좋습니다 국굿,1
25,23.04.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 16-오리모자,싸고 좋습니다 국굿,1
26,23.04.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 61-캔디화이트,너무 마음에 들어요^^ 제가 마침 갖고 싶었던 케이스들이서 매일매일 기분에 따라 바꿔 끼우도 다녀요~ 감사합니다,1
27,23.04.01.,5,모델: 1.NEW 에어팟3세대 / 옵션: 05-상어,케이스 안쪽 마감은 가격이 가격이다보니까 어쩔수 없지만 안보여서 무난무난힌거 같아요,0
28,23.04.01.,5,모델: 1.NEW 에어팟3세대 / 옵션: 19-닌텐도,"너무 귀여워요!
사은품으로 주신 핑크돼지가 더 귀여워서 사은품을 쓰고있는건 안비밀~ '-^*",1
29,23.04.01.,5,모델: 1.NEW 에어팟3세대 / 옵션: 06-시바얼굴,"너무 귀여워요!
사은품으로 주신 랜덤 케이스는 핑크돼지였는데 사은품이 더 이뻐서 사은품으로 쓰고있는건 안비밀!! '-^*",1
30,23.03.31.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,커플로 쿼카 맞췄어요 완전 존귀탱이에요 ㅎㅎ,1
31,23.03.31.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,넘나 넘나 귀여워요,1
32,23.03.31.,5,모델: 1.NEW 에어팟3세대 / 옵션: 17-테디도그 화이트,넘귀여워요 ㅋ 잘쓸께유,1
33,23.03.30.,5,모델: 1.NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,"너무 귀엽네요
별점 뇌물을 산만큼 주셔서 너무 감사합니다
잘쓸게욤~~",1
34,23.03.29.,5,모델: 1.NEW 에어팟3세대 / 옵션: 05-상어,너무 귀엽네요. 잘 쓰겠습니다.,1
35,23.03.26.,5,모델: 1.NEW 에어팟3세대 / 옵션: 17-우비피기,"하나 사서 한개를 더 받았었는데요
질리지 않아서 좋았습니다 ~~
바꿔낄때 조금 힘들었지만^^
이제 슬슬 바꿀 때가 되어가는데요
샛노란 우비옷을 입은 돼지를 구입했었는데
먼지도 안 붙고 때도 안 타고 
들고 다니기 쉽게 키링처럼 탈부착되는 
쇠링이 있어서 좋아요
저번에 애기가 장난감인줄 알고 저~~멀리서 
두번인가 던졌었는데 ^^
다행히 말짱하더라구요
그런 기능도 있더랬습니다
한달후기 만족입니다",1
36,23.03.25.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,조아요 ㅎㅎ 귀여우야요,1
37,23.03.25.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카브라운 캐릭터,너무 귀여워용 ㅠㅠㅠ 품절이라 2주 기다렸는데 완전 만족!!!,1
38,23.03.24.,5,모델: 1.NEW 에어팟3세대 / 옵션: 10-아따공룡,넘귀여워용🥹🥹❤️,1
39,23.03.24.,5,모델: 1.NEW 에어팟3세대 / 옵션: 16-오리모자,넘 귀여워요~~🥹👍,1
40,23.03.22.,5,모델: 1.NEW 에어팟3세대 / 옵션: 09-테디도그브라운,상품좋아요. 배송도 빨라요,1
41,23.03.22.,5,모델: 1.NEW 에어팟3세대 / 옵션: 20-잠만보,너무너무너무 좋아요,1
42,23.03.21.,5,모델: 1.NEW 에어팟3세대 / 옵션: 51-레몬,케이스 2개 구매했는데 사은품을 더 많이 주네요 케이스 이뻐요 감사합니다,1
43,23.03.21.,5,모델: 1.NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,"케이스 두개 샀더니 키링도 주고 케이스 2개 더 주고 서비스가 좋네요 
케이스도 깔끔하게 이뻐요 감사합니다",1
44,23.03.20.,5,모델: 1.NEW 에어팟3세대 / 옵션: 05-마샬,곰돌이 너무 귀여워,1
45,23.03.18.,5,모델: 1.NEW 에어팟3세대 / 옵션: 31-고양이발 핑크,배송빠르고 좋아요.,1
46,23.03.18.,5,모델: 1.NEW 에어팟3세대 / 옵션: 30-냥이 블랙,배송빠르고 질도 좋네요,1
47,23.03.18.,5,모델: 1.NEW 에어팟3세대 / 옵션: 19-몬스터볼,"오, 너무 귀엽습니다. 같이 무료로 동봉해준 상품들도 잘 쓰겠습니다",1
48,23.03.18.,5,모델: 1.NEW 에어팟3세대 / 옵션: 08-상어,만족합니다 좋아요~,1
49,23.03.17.,5,모델: 1.NEW 에어팟3세대 / 옵션: 33-공룡이그린,"귀엽고 싸요
에어팟을 보호할 수 있어서 좋네요",1
50,23.03.17.,5,모델: 1.NEW 에어팟3세대 / 옵션: 05-마샬,너무 깜찍해서 놀람 대만족쿠 서비스도 빵빵,1
51,23.03.16.,5,모델: 1.NEW 에어팟3세대 / 옵션: 22-버섯,배송빠르고 좋아요 잘쓸께요,1
52,23.03.16.,5,모델: 1.NEW 에어팟3세대 / 옵션: 34-공룡이핑크,싸구려 색상이 아니라 예쁜 색이에요,1
53,23.03.15.,5,모델: 1.NEW 에어팟3세대 / 옵션: 04-닌텐도,빠르고 좋네요 굿ㄱ,1
54,23.03.15.,5,모델: 1.NEW 에어팟3세대 / 옵션: 15-볼터치공룡그린,빠르게 왓습니다 이쁘고 좋네요,1
55,23.03.14.,5,모델: 1.NEW 에어팟3세대 / 옵션: 08-상어,이쁘고 귀여워용 ㅎㅎ,1
56,23.03.12.,5,모델: 1.NEW 에어팟3세대 / 옵션: 41-조이패드 블랙,ㅔㅂ리베리베리베리베리베리베리베리베리베리굿,1
57,23.03.12.,5,모델: 1.NEW 에어팟3세대 / 옵션: 08-상어,귀여워요 너무 귀여워,1
58,23.03.12.,5,모델: 1.NEW 에어팟3세대 / 옵션: 55-퍼플,이쁘고 좋네요 잘쓸께요,1
59,23.03.12.,5,모델: 1.NEW 에어팟3세대 / 옵션: 19-몬스터볼,이쁘고 좋네요 잘쓸께요,1
60,23.03.12.,5,모델: 1.NEW 에어팟3세대 / 옵션: 11-시바얼굴,잘쓰고 있습니다 좋아요,1
61,23.03.11.,5,모델: 1.NEW 에어팟3세대 / 옵션: 17-우비피기,가성비 좋고 이뻐요,1
62,23.03.11.,5,모델: 1.NEW 에어팟3세대 / 옵션: 44-딸기라떼,이쁘고 좋아요 좋아요,1
63,23.03.10.,5,모델: 1.NEW 에어팟3세대 / 옵션: 31-고양이발 핑크,너무 귀엽고 아주 좋아요,1
64,23.03.10.,5,모델: 1.NEW 에어팟3세대 / 옵션: 54-스카이,너무 귀엽고 아주 좋아요~^^,1
65,23.03.09.,5,모델: 1.NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,맘에들어여 추천합니다,1
66,23.03.09.,5,모델: 1.NEW 에어팟3세대 / 옵션: 55-퍼플,맘에들어요 추천합니다,1
67,23.03.09.,5,모델: 1.NEW 에어팟3세대 / 옵션: 18-불독블랙,귀엽게 사용하고 있어요,1
68,23.03.08.,5,모델: 1.NEW 에어팟3세대 / 옵션: 25-에그토스트,케이스 너무 귀엽네요 서비스로 주신 케이스도 감사합니다!,1
69,23.03.08.,5,모델: 1.NEW 에어팟3세대 / 옵션: 08-상어,이쁘고 좋아요! 가성비 좋네요,1
70,23.03.07.,5,모델: 1.NEW 에어팟3세대 / 옵션: 11-시바얼굴,귀엽고 때가 잘안탑니다.,1
71,23.03.07.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카브라운 캐릭터,배송 빠르고 물건 좋아요 완전 귀여움,1
72,23.03.05.,5,모델: 1.NEW 에어팟3세대 / 옵션: 15-볼터치공룡그린,"배송 빠르고, 케이스 너무 귀여워요
서비스 주신 것들도 잘 받았습니다:)",1
73,23.03.05.,5,모델: 1.NEW 에어팟3세대 / 옵션: 10-테디도그 화이트,"사진과 똑같아요 
주신 사운품도 역시 좋아요 
번창하세요!!!",1
74,23.03.05.,5,모델: 1.NEW 에어팟3세대 / 옵션: 42-조이패드 화이트,"사장님
감사합니다
완전 귀여워요",1
75,23.03.05.,5,모델: 1.NEW 에어팟3세대 / 옵션: 41-조이패드 블랙,"완전 귀여워요
감사합니다",1
76,23.03.05.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,너무 귀여워요 근데 머리가 좀 잘 빠져요..,0
77,23.03.04.,5,모델: 1.NEW 에어팟3세대 / 옵션: 27-비모,"케이스가 너무 귀엽고 서비스도 너무 만족했어요!
나중에 케이스가 해져서 못쓰면 또 재구매 할거 같아요^_^ 무배라 더 좋은거 같아요!
만족합니다^^",1
78,23.03.04.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카화이트 캐릭터,좋습니다 좋아요...,1
79,23.03.04.,5,모델: 1.NEW 에어팟3세대 / 옵션: 32-고양이발 화이트,좋습니다 좋아요..,1
80,23.03.04.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카화이트 캐릭터,저렴하게 잘 구매했는데 배송도 빨랐어요 ㅠㅠ 덤도 많이 주셔서 좋았습니다,1
81,23.03.04.,5,모델: 1.NEW 에어팟3세대 / 옵션: 54-스카이,저렴하게 잘 구매했는데 배송도 빨랐어요 ㅠㅠ 덤도 많이 주셔서 좋았습니다,1
82,23.03.03.,5,모델: 1.NEW 에어팟3세대 / 옵션: 22-버섯,"에어팟을 선물 받아서 케이스 끼우려고 구매 했어요
그런데 에어팟프로2인데 기종을 잘못알아서 엉뚱한걸 샀네요ㅠ
다시 구매 할께요",1
83,23.03.03.,5,모델: 1.NEW 에어팟3세대 / 옵션: 27-비모,"너무 귀엽네요
촉감도 좋구 마감도 좋습니다.
무엇보다 키링(?) 이 달려서 손에서 떨굴 걱정없어서 좋습니다",1
84,23.03.03.,5,모델: 1.NEW 에어팟3세대 / 옵션: 10-테디도그 화이트,귀여워영 키링도 달려잇어서 손가락에 걸고다니기ㅜ좋을 듯,1
85,23.03.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,배송 빠르고 가격도 좋아서 친구에게 추천해줬어요☺️,1
86,23.03.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 23-세일러문 마법봉,잘 사용하고 있습니다 많이 파세뇨,1
87,23.03.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 19-몬스터볼,"고무냄새 조금 나고, 몬스터 구매 했는데 생각보다 큼.",0
88,23.03.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 25-에그토스트,"진짜 이렇게 주시면 남는게 있나여..사장뉨..🌟
케이스 이쁘고 랜덤으로 온것도 이뻐여..!
잘 쓰겠습니다~",1
89,23.03.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 43-몬스터,너무 귀얍네여ㅋ잘 쓰겠습니다ㅋ,1
90,23.03.01.,5,모델: 1.NEW 에어팟3세대 / 옵션: 18-불독블랙,"에어팟을 많이 떨어뜨려서 케이스가 필요했는데
배송도 괜찮았고 너무 귀여워요!!ㅎㅎ
블랙이라 깔끔하면서 유니크하니 마음에 들어요~!
같이 주신 것도 잘 쓸게요^^",1
91,23.03.01.,5,모델: 1.NEW 에어팟3세대 / 옵션: 27-비모,너무만족합니다. 무배에 추가 캐릭터라니...,1
92,23.03.01.,5,모델: 1.NEW 에어팟3세대 / 옵션: 20-잠만보,이뻐요 실리콘이라 놓쳐도 안깨지고 좋네요 감사합니다.,1
93,23.03.01.,5,모델: 1.NEW 에어팟3세대 / 옵션: 43-몬스터,배송도빠르고좋아여^^,1
94,23.02.28.,5,모델: 1.NEW 에어팟3세대 / 옵션: 58-카키,배송이 잘못왔지만 빠르게 처리해주신점이 좋았어요,0
95,23.02.27.,5,모델: 1.NEW 에어팟3세대 / 옵션: 57-그린,색깔도 다양하고 사은품으로 주는 것도 많아서 좋아요,1
96,23.02.27.,5,모델: 에어팟 1/2세대 1+1 / 옵션: 71-블랙 1+1,색깔도 다양하고 사은품으로 주는 것도 많아서 좋아요,1
97,23.02.26.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,쿼카랑 냥이화이트 주문했는데 랜던발송 제품들을 예쁜것만 보내쥬셔서 감사합니다~,1
98,23.02.26.,5,모델: 1.NEW 에어팟3세대 / 옵션: 29-냥이 화이트,랜덤이라지만 귀엽고 마음에 드는것만 보내주셔서 감사합니다~,1
99,23.02.26.,5,모델: 1.NEW 에어팟3세대 / 옵션: 11-시바얼굴,감사합니다 잘 이용하도록 하겠습니다,1
100,23.02.26.,5,모델: 1.NEW 에어팟3세대 / 옵션: 60-블랙,감사합니다 잘 이용하도록 하겠습니다,1
101,23.02.26.,5,모델: 1.NEW 에어팟3세대 / 옵션: 47-미러베어 블랙,여전히 너무 귀엽고 볼 때마다 만족스러워요,1
102,23.02.26.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,놀이공원에서 사용하려고 샀는데 가성비 좋아요,1
103,23.02.25.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,처음엔 케이스가 너무 큰가 싶었지만 지금은 너무 귀여워요❤️,1
104,23.02.25.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,친구 생일선물로 주려고 샀어요 이거 진짜 귀여워요 이 가격이면 진짜 가성비 쩌는듯!,1
105,23.02.25.,5,모델: 1.NEW 에어팟3세대 / 옵션: 10-테디도그 화이트,너무좋아요 너무많이주셨어요 감사해요,1
106,23.02.25.,5,모델: 1.NEW 에어팟3세대 / 옵션: 27-비모,배송 물건너무좋아요 2개시켰는데본품 4개가더왔어오 기분업됐어요 대박이에요,1
107,23.02.25.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,사이즈 딱 맞고 넘귀여워욤!! 불들어오는 것도 잘 보입니다-,1
108,23.02.25.,5,모델: 1.NEW 에어팟3세대 / 옵션: 56-밀크티,"혜자입니다 최고최고
서비스로 받은 케이스도 좋아하는 색이라 마음에 쏙 들어요 진짜 최고최고",1
109,23.02.25.,5,모델: 1.NEW 에어팟3세대 / 옵션: 49-반투명,"이렇게 팔아도 마진이 남으시나요ㅠㅠ 혜자입니다.
서비스로 받은 케이스도 어떻게 아셨는지 제가 좋아하는 색으로만 넣어주셨어요ㅠㅠ
잘쓸게요 감사합니다",1
110,23.02.24.,5,모델: 1.NEW 에어팟3세대 / 옵션: 63-밀키핑크,"저 왠만하면 안남기는데 취향저격 사장님 이러면 뭐 남아요?? 반신반의로 구매....너무 마음에 들어서 만족을 할수밖에 없음 ㅜㅜㅜ 배송 짱빠름, 저렴해, 예뻐, 뭐 하나 안빠짐 감사해요 선물 받은 느낌이예요 ㅜㅜㅜ",1
111,23.02.23.,5,모델: 1.NEW 에어팟3세대 / 옵션: 30-냥이 블랙,너무 깜찍하고 이쁘고 서비스로 주신것도 맘에 들어요,1
112,23.02.23.,5,모델: 1.NEW 에어팟3세대 / 옵션: 55-퍼플,색깔 넘 예쁘고 딱 맞게 끼워지네요 잘 사용하겠습니다 ㅎㅎ,1
113,23.02.23.,5,모델: 1.NEW 에어팟3세대 / 옵션: 25-에그토스트,케이스 너무 이뻐요 하나 샀는데 두개나 왔네요 케이스도 탄탄하고 무슨 가게 문 닫나 싶을 정도였어요,1
114,23.02.23.,5,모델: 1.NEW 에어팟3세대 / 옵션: 06-아따공룡,"배송도 괜찮고
무엇보다 무료배송에 1+2 여서
하나만 샀는데도 2개가 더 와서 기분에 따라 바꿔가며 쓸수있어서 좋네요",1
115,23.02.23.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,귀여워요. 너무 귀여워서 에어팟 볼 때마다 행복해요.,1
116,23.02.22.,5,모델: 1.NEW 에어팟3세대 / 옵션: 21-마리오,넘넘 귀여워요.... 마리오를 주문했는데 아이언맨이 같이왔어요 ㅠ_ㅠ 취저!!!!!,1
117,23.02.22.,5,모델: 1.NEW 에어팟3세대 / 옵션: 55-퍼플,"1개 주문했는데 +2여서 너무 기분 좋았어요
에어팟에 딱 맞춰서 들어가요~",1
118,23.02.22.,5,모델: 1.NEW 에어팟3세대 / 옵션: 05-마샬,사기 전에 이거 어떠냐고 물어봤었는데 케이스 뚜껑이 무거워서 혼자 벌어진다는 소리를 들었어요 그래도 그냥 이게 제일 맘에 들어서 구매했는데 사용하는 동안 한 번도 그런 적 없어요!,1
119,23.02.21.,5,모델: 1.NEW 에어팟3세대 / 옵션: 21-마리오,배송이 빠르고 좋네요,1
120,23.02.15.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,"진짜 이 가격이면 무조건 사야됨 가성비 미쳣다ㄷㄷ
완전 귀여워요ㅜㅜ",1
121,23.02.14.,5,모델: 1.NEW 에어팟3세대 / 옵션: 19-몬스터볼,배송 빠르고 좋아요 마니 파세용,1
122,23.02.14.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,"너무기여워요..
추가로온상품들도 잘쓸꺼같아요
볼때마다 기분이 좋네요!",1
123,23.02.14.,5,모델: 1.NEW 에어팟3세대 / 옵션: 33-공룡이그린,상품이 아주 맘에들어요,1
124,23.02.14.,5,모델: 1.NEW 에어팟3세대 / 옵션: 08-상어,"케이스가 빠지지 않고 견고하고 너무 좋아요.
너무 견고해서 빼는 것도 쉽지 않아요 ㅎㅎ",1
125,23.02.14.,5,모델: 1.NEW 에어팟3세대 / 옵션: 03-감귤꼬꼬,사용하기도 편하고 귀엽고 좋아요~~,1
126,23.02.13.,5,모델: 1.NEW 에어팟3세대 / 옵션: 61-캔디화이트,조아영 색도 예쁘고 ㅎㅎ 근ㄷㅔ 조개껍질에 아무글자나써져있네요 ㅋㅋㅋ,1
127,23.02.13.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,이가격에 3개라니 잘쓰겠습니다,1
128,23.02.13.,5,모델: 1.NEW 에어팟3세대 / 옵션: 05-마샬,사은품으로 온 케이스가 더 이쁘네용 잘 쓸게요~~,1
129,23.02.12.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,"사장님 땅파서 장사하세요,,??? 제가 주문한건 저렇게 귀염뽀짝한 쿼카지만 케이스가 두개나 더 왔어요ㅎㅎㅎ 배송비도 무료고 최고예요 진짜 ;;;",1
130,23.02.11.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,쿼카가 너무 귀여워요,1
131,23.02.11.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,너무 이뻐요!!! 서비스도 대박이에요!,1
132,23.02.11.,5,모델: 1.NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,투명 케이스도 넘 맘에 들고 덤으로 주신 케이스도 넘 마음에 들어서 바로 착용했습니다!,1
133,23.02.10.,5,모델: 1.NEW 에어팟3세대 / 옵션: 19-몬스터볼,마감이 아쉽지만 가성비가 좋네요,0
134,23.02.09.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,잘못 주문해서 문의드렸는데도 잘 보내주셨어요!,1
135,23.02.09.,5,모델: 1.NEW 에어팟3세대 / 옵션: 09-테디도그브라운,"너무 귀여워요ㅋㅋㅋ
저렴한 금액에 구매해서 더 만족합니다",1
136,23.02.09.,5,모델: 1.NEW 에어팟3세대 / 옵션: 56-밀크티,서비스까지 주셔서 잘 사용중입니다 감사합니다,1
137,23.02.08.,5,모델: 1.NEW 에어팟3세대 / 옵션: 44-푸들인형,저렴한 가격에 좋은 퀄리티!,1
138,23.02.08.,5,모델: 1.NEW 에어팟3세대 / 옵션: 19-몬스터볼,시바가 없어서 아쉬운데... 사은품을 이렇게나 주시면 남는게 있으신건지 :) 넘 감사드리고 잘 쓰겠습니다 !,0
139,23.02.08.,5,모델: 1.NEW 에어팟3세대 / 옵션: 56-밀크티,싸게 샀고 색도 예뻐요:),1
140,23.01.31.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,좋아요 케이스 하나는 쫌 작은듯 하네요,0
141,23.01.31.,5,모델: 1.NEW 에어팟3세대 / 옵션: 24-세일러문 얼굴,너무 귀여워용! 미쳐요 ㅠ,1
142,23.01.31.,5,모델: 에어팟 1/2세대 1+1 / 옵션: 15-핑크냥이 1+1,너무 맘에 들어요~~,1
143,23.01.30.,5,모델: 1.NEW 에어팟3세대 / 옵션: 23-세일러문 마법봉,잘 받았습니자 많이 파세요,1
144,23.01.30.,5,모델: 1.NEW 에어팟3세대 / 옵션: 63-밀키핑크,잘 받았습니자 많이 파세요,1
145,23.01.30.,5,모델: 1.NEW 에어팟3세대 / 옵션: 03-닌텐도 조이스틱,귀엽고 말랑말랑하니 기스잘 나는 하드 케이스보다는 좋은 것 같아요 잘 사용할게요 감사합니다^^,1
146,23.01.30.,5,모델: 1.NEW 에어팟3세대 / 옵션: 05-마샬,마샬 스피커 케이스 귀엽고 좋네요. 서비스로 한개 더 주다니!!!,1
147,23.01.30.,5,모델: 1.NEW 에어팟3세대 / 옵션: 25-에그토스트,배송도 너무빠르고 상품도 만족해요 넘 귀여워요❤,1
148,23.01.30.,5,모델: 1.NEW 에어팟3세대 / 옵션: 19-몬스터볼,총알배송에 제가 뭘시켰는지도 기억이 안날정도로 사은품을 많이 넣어주셨습니다❤ 정말 감동해서 앞으로 자주자주 구매할것같아요 감사합니다,1
149,23.01.30.,5,모델: 1.NEW 에어팟3세대 / 옵션: 11-시바얼굴,아주 좋아요 좋은제품 잘 사용하고 있습니다~,1
150,23.01.30.,5,모델: 1.NEW 에어팟3세대 / 옵션: 60-블랙,아주 좋아요 좋은제품 잘 사용하고 있습니다~,1
151,23.01.29.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,"귀여워요 서비스로 주신 케이스도 감사합니당
배송 빠르고 좋네용",1
152,23.01.29.,5,모델: 1.NEW 에어팟3세대 / 옵션: 17-우비피기,"와 나 리뷰 진짜 안다는데.. 
안 달 수 없는 재질과 디자인임 ㅜㅜ
사장님..나눔 기부하시나요..? 이렇게 팔아서 뭐가 남나요 ㅜㅜ 진짜 잘 쓸게요! 최고에요!!
100퍼센트 고무 재질도 아니라서 내 소중한 에어팟 지켜줄 수 잇을거같아요!",1
153,23.01.28.,5,모델: 1.NEW 에어팟3세대 / 옵션: 27-비모,"이 가격에 배송도 빠르고 추가로 주신 케이스도 너무 예쁜 ~
대만족 입니다
번창 하세요~",1
154,23.01.28.,5,모델: 1.NEW 에어팟3세대 / 옵션: 33-공룡이그린,귀여워요 빠른 배송 감사합니다,1
155,23.01.28.,5,모델: 1.NEW 에어팟3세대 / 옵션: 08-상어,상어모양 이뻐요! 랜덤 식빵도 좋아요,1
156,23.01.27.,5,모델: 1.NEW 에어팟3세대 / 옵션: 56-밀크티,"사진과 같아요 
1+1 착한가격에 사서 더더 만족입니다 ㅎㅎ",1
157,23.01.27.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,원하는 거 다 받았어요😳,1
158,23.01.26.,5,모델: 1.NEW 에어팟3세대 / 옵션: 15-볼터치공룡그린,귀여운거 더 많았음 조켈어뇨,1
159,23.01.26.,5,모델: 1.NEW 에어팟3세대 / 옵션: 05-마샬,여러개 사놨는게 투명한건 와케 뚜껑이 잘빠져요? 별루에요,0
160,23.01.13.,5,모델: 1.NEW 에어팟3세대 / 옵션: 08-상어,"이가격이라니… 말도안됩니다ㅋㅋㅋ
잘쓸게여 사장님",1
161,23.01.13.,5,모델: 1.NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,가성비 최고입니다 굿굿,1
162,23.01.13.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,귀엽고 좋습니다 굿,1
163,23.01.13.,5,모델: 1.NEW 에어팟3세대 / 옵션: 11-시바얼굴,저렴한만큼 품질도 딱그만큼입니다,0
